"","BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"17348",10850273,"H","SE","SE corner of 5 AV and E 91 ST","D","MN085",995884.81136414,225106.69714604,995862.10242006,225141.53795563,"5 AV","E 91 ST",56352,"POINT (-73.9579863361 40.7845343835)"
"17350",10830034,"H","NE","NE corner of 3 AV and E 81 ST","B","MN083",996421.53798097,221861.4605263,996386.37958673,221850.67839563,"3 AV","E 81 ST",4796,"POINT (-73.956054079 40.7756263458)"
"17351",11010027,"H","SE","SE corner of W 125 ST and ST NICHOLAS AV","D","MN101",997395.65414298,234569.59980813,997385.21978064,234618.87333164,"W 125 ST","ST NICHOLAS AV",4472,"POINT (-73.9525121125 40.8105053555)"
"17355",10330063,"H","SE","SE corner of AV A and E 3 ST","D","MN033",988354.37366915,202844.1619468,988344.75885898,202892.22189005,"AV A","E 3 ST",723,"POINT (-73.9851925679 40.7234360858)"
"17358",31710040,"H","W","W corner of RUTLAND RD and E 98 ST","D","BKN171",1005574.23522672,181541.03788647,1005608.80536756,181557.71764313,"RUTLAND RD","E 98 ST",10425,"POINT (-73.9231355822 40.6649392203)"
"17369",10420305,"H","","Unknown median on 12 AVE","B","MN042",983644.25612089,216415.98257214,983620.5258534,216394.56430788,"12 AVE","12 AVE",5944,"POINT (-74.0021865767 40.7606882818)"
"17372",10840045,"H","NE","NE corner of 2 AV and E 84 ST","D","MN084",997424.99726014,222213.23869413,997388.76275256,222204.74264814,"2 AV","E 84 ST",19896,"POINT (-73.9524303521 40.7765904455)"
"17375",10630220,"H","SE","SE corner of 3 AV and E 57 ST","B","MN063",993277.27261598,216184.0289678,993262.60991564,216212.70706005,"3 AV","E 57 ST",4368,"POINT (-73.9674142239 40.7600470408)"
"17379",30220041,"H","W","W corner of BOERUM PL and SCHERMERHORN ST","B","BKN022",986994.70578481,190780.73823905,987039.67551115,190796.68636988,"BOERUM PL","SCHERMERHORN ST",9797,"POINT (-73.9901027865 40.6903253631)"
"17386",10820046,"H","SE","SE corner of E 72 ST and LEXINGTON AV","B","MN082",994783.78863181,219861.06459272,994729.13224506,219921.1120448,"E 72 ST","LEXINGTON AV",3039,"POINT (-73.9619703863 40.7701378861)"
