"","BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"5305",10510057,"H","SE","SE corner of UNION SQ E and E 16 ST","B","MN051",987209.9163124,207329.43086338,987196.98556398,207380.14270422,"UNION SQ E","E 16 ST",1324,"POINT (-73.9893194769 40.7357475094)"
"5312",10410073,"H","NW","NW corner of 7 AV and W 17 ST","D","MN041",984699.71004672,209119.88331921,984703.85078648,209083.28234255,"7 AV","W 17 ST",783,"POINT (-73.9983771525 40.7406623417)"
"5313",31320128,"H","NE","NE corner of SURF AV and W 5 ST","D","BKS132",991726.30065231,148746.19238704,991684.26661564,148715.24034922,"SURF AV","W 5 ST",16916,"POINT (-73.9730875612 40.5749467322)"
"5316",41420167,"H","SW","SW corner of BEACH CHANNEL DR and BEACH 38 ST","D","QE142",1047910.53966156,156417.44279255,1047933.24663715,156470.72352588,"BEACH CHANNEL DR","BEACH 38 ST",14183,"POINT (-73.7707694141 40.5957773116)"
"5317",30210114,"H","SW","SW corner of WILLOUGHBY ST and BRIDGE ST","B","BKN021",988295.65200181,191401.63069806,988312.89212482,191432.62899563,"WILLOUGHBY ST","BRIDGE ST",10761,"POINT (-73.9854112944 40.6920290707)"
"5323",50370011,"H","NW","NW corner of ANNADALE RD and S RAILROAD ST","B","SI037",934937.46114622,136126.76651047,934965.75669332,136025.45437713,"ANNADALE RD","S RAILROAD ST",20210,"POINT (-74.1774180992 40.5401749121)"
"5327",10510191,"H","NE","NE corner of 5 AV and E 27 ST","B","MN051",987731.48711965,210381.33912963,987682.21097148,210365.23844005,"5 AV","E 27 ST",1637,"POINT (-73.9874358681 40.7441240494)"
"5329",10850173,"H","SE","SE corner of LEXINGTON AV and E 93 ST","D","MN085",997473.02111423,224822.23610079,997464.38924173,224858.83510897,"LEXINGTON AV","E 93 ST",3106,"POINT (-73.9522518225 40.7837513803)"
"5330",10410154,"H","NW","Median at NW corner of W 14 ST and 9 AVE","B","MN041",982821.07338406,209235.0369603,982824.36865306,209224.70660038,"W 14 ST","9 AVE",949,"POINT (-74.0051565248 40.7409783058)"
"5331",10850203,"H","SW","SW corner of YORK AV and E 89 ST","B","MN085",999203.57933289,222660.30866613,999245.61927506,222676.55272813,"YORK AV","E 89 ST",3512,"POINT (-73.9460076099 40.7778147046)"
"5332",11110162,"H","NW","NW corner of 3 AV and E 107 ST","D","MN111",999676.55410872,228017.88948639,999687.24568839,227956.78494979,"3 AV","E 107 ST",6271,"POINT (-73.9442875529 40.7925190194)"
"5343",20420052,"H","N","N corner of E 167 ST and WALTON AV","D","BX042",1006525.42820624,243612.28447863,1006541.78644122,243588.88491914,"E 167 ST","WALTON AV",23524,"POINT (-73.9195013467 40.8353066509)"
"5344",20610008,"H","","","B","BX061",1014299.0196144,252964.32614197,NA,NA,"","",9577,"POINT (-73.8913673561 40.8609521981)"
"5349",10510003,"H","NW","NW corner of 5 AV and W 20 ST","B","MN051",986740.69316947,208836.38979171,986741.58621231,208791.61954005,"5 AV","W 20 ST",1092,"POINT (-73.9910120575 40.7398838831)"
"5354",30210045,"H","NW","NW corner of ADAMS ST and JORALEMON ST","D","BKN021",987235.34637964,191529.15603355,987250.39096898,191492.26437505,"ADAMS ST","JORALEMON ST",10049,"POINT (-73.989234722 40.6923795194)"
"5355",10840039,"H","SE","SE corner of 1 AV and E 85 ST","D","MN084",998163.02563973,222000.04259822,998156.6483559,222034.2180548,"1 AV","E 85 ST",21996,"POINT (-73.9497660687 40.7760041475)"
"5370",10110002,"H","SW","SW corner of W THAMES ST and BATTERY PL","P","MN011",979560.64650598,197228.62363721,979595.99682897,197253.59471588,"W THAMES ST","BATTERY PL",4256,"POINT (-74.0169139638 40.7080224866)"
"5401",10850217,"H","NE","NE corner of MADISON AV and E 87 ST","B","MN085",995857.08471356,224028.43092988,995828.70681757,224014.62747979,"MADISON AV","E 87 ST",3856,"POINT (-73.9580883208 40.7815748661)"
"5407",11010106,"H","Direction TBD","Location Description T/K","B","MN101",997623.68846381,234349.33121979,997666.25890847,234325.87169882,"Street Name TBD","",5243,"POINT (-73.9516887912 40.8099004372)"
"5415",31010015,"H","W","W corner of 5 AV and 68 ST","B","BKS101",978444.15103556,170299.8628623,978476.15359622,170321.41760922,"5 AV","68 ST",19483,"POINT (-74.0209178416 40.6341084109)"
"5421",41420111,"H","Direction TBD","Location Description T/K","P","QE142",1039288.02475439,153002.23768072,1039287.82851126,153040.32052808,"Street Name TBD","",14573,"POINT (-73.8018453022 40.5864610209)"
"5422",10210442,"H","Direction TBD","Location Description T/K","B","MN021",984561.5357824,202549.90531747,984527.80075069,202571.48940501,"Street Name TBD","",19995,"POINT (-73.9988760797 40.7226293692)"
"5431",10710049,"H","SE","SE corner of AMSTERDAM AV and W 68 ST","B","MN071",988849.55214073,221927.05029014,988835.37434757,221978.83102647,"AMSTERDAM AV","W 68 ST",5309,"POINT (-73.9833930505 40.7758135557)"
"5443",10520489,"H","NE","NE corner of MADISON AV and E 54 ST","B","MN052",991608.34157065,216315.12778696,991554.86398731,216299.34074505,"MADISON AV","E 54 ST",2592,"POINT (-73.973438426 40.7604084199)"
"5447",10820229,"H","NE","NE corner of YORK AV and E 69 ST","D","MN082",996748.55438732,217971.49684955,996720.58924559,217987.03669019,"YORK AV","E 69 ST",20134,"POINT (-73.9549080506 40.7649102474)"
"5450",41360013,"H","N","N corner of MERRICK BLVD and LAURELTON PKWY","O","QE136",1057741.6394219,185037.12603863,1057744.98751231,184980.36171646,"MERRICK BLVD","LAURELTON PKWY",20998,"POINT (-73.7350578339 40.6742558273)"
"5469",31220031,"H","N","N corner of 10 AV and 49 ST","D","BKS122",984599.49568023,172143.87721889,984596.43630314,172116.59151229,"10 AV","49 ST",19717,"POINT (-73.9987407096 40.6391717333)"
"5471",40420020,"H","Direction TBD","Location Description T/K","P","QW042",1019941.00308107,206795.10319188,1019924.47656093,206752.23995348,"Street Name TBD","",16696,"POINT (-73.8712159802 40.7342093951)"
"5474",10510144,"H","NE","NE corner of PARK AV S and E 26 ST","B","MN051",988504.45374957,209652.26742505,988455.00470148,209640.37440422,"PARK AV S","E 26 ST",1529,"POINT (-73.984646816 40.7421225916)"
"5486",10610211,"H","NW","NW corner of LEXINGTON AV and GRAMERCY PARK N","D","MN061",988192.85135439,208300.75831705,988202.51832981,208257.64423005,"LEXINGTON AV","GRAMERCY PARK N",24967,"POINT (-73.9857720978 40.7384131794)"
"5488",20720003,"H","N","N corner of GRAND CONCOURSE and E KINGSBRIDGE RD","B","BX072",1013413.85143723,254956.76605472,1013428.37535831,254915.41443138,"GRAND CONCOURSE","E KINGSBRIDGE RD",9058,"POINT (-73.8945587258 40.8664238076)"
"5493",31620040,"H","SW","SW corner of PITKIN AV and HERZL ST","B","BKN162",1007675.48692973,182943.04689346,1007695.98295173,182992.20296313,"PITKIN AV","HERZL ST",10273,"POINT (-73.9155566339 40.6687821112)"
"5511",10110015,"H","SW","SW corner of GOLD ST and BEEKMAN ST","B","MN011",982856.58085898,197841.33763488,982880.40955147,197830.34881172,"GOLD ST","BEEKMAN ST",4458,"POINT (-74.005026031 40.7097053743)"
"5512",31610132,"H","SE","SE corner of THOMAS S BOYLAND ST and LIVONIA AV","D","BKN161",1008807.1959524,180468.91601497,1008769.88500339,180507.78864063,"THOMAS S BOYLAND ST","LIVONIA AV",6997,"POINT (-73.9114861039 40.6619881078)"
"5522",31510058,"H","NE","NE corner of KINGS HWY and E 2 ST","B","BKS151",992330.22562556,159503.66595081,992309.48518148,159472.15453088,"KINGS HWY","E 2 ST",17196,"POINT (-73.9709007489 40.6044733149)"
"5526",10620063,"H","SW","SW corner of 3 AV and E 45 ST","B","MN062",991633.38220298,213493.13310288,991673.97792231,213504.13636172,"3 AV","E 45 ST",5103,"POINT (-73.9733511352 40.7526627434)"
"5527",10750246,"H","NW","NW corner of W 106 ST and COLUMBUS AV","D","MN075",994464.87522765,230560.23873238,994518.55851923,230508.73194563,"W 106 ST","COLUMBUS AV",48996,"POINT (-73.9631054744 40.7995046387)"
"5534",40140077,"H","W","W corner of STEINWAY ST and BROADWAY","B","QW014",1006585.31850639,215715.72905138,1006656.06705256,215791.73710147,"STEINWAY ST","BROADWAY",14236,"POINT (-73.9193777011 40.7587380743)"
"5536",40230009,"H","NW","NW corner of 43 ST and GREENPOINT AV","O","QW023",1005801.95950881,209236.4149103,1005842.47287923,209226.04157147,"43 ST","GREENPOINT AV",14406,"POINT (-73.9222261031 40.7409559428)"
"5546",20720113,"H","E","E corner of WEBSTER AV and BOTANICAL SQ S","B","BX072",1016757.56719072,255412.19723046,1016689.94495064,255424.2890698,"WEBSTER AV","BOTANICAL SQ S",9877,"POINT (-73.8824673982 40.8676621463)"
"5548",10840082,"H","SW","SW corner of LEXINGTON AV and E 83 ST","B","MN084",996091.49008465,222547.06184538,996122.70885423,222558.6166123,"LEXINGTON AV","E 83 ST",2899,"POINT (-73.9572445243 40.7775085891)"
"5557",10230151,"H","SW","SW corner of UNIVERSITY PL and E 12 ST","B","MN023",986191.5955144,206645.19863606,986218.30969982,206656.40727505,"UNIVERSITY PL","E 12 ST",431,"POINT (-73.9929941697 40.7338697427)"
"5564",10840079,"H","NW","NW corner of 3 AV and E 86 ST","D","MN084",996971.13136998,223108.37174638,996976.98208006,223073.6746373,"3 AV","E 86 ST",2876,"POINT (-73.9540673854 40.7790480143)"
"5565",10340139,"H","NW","NW corner of AV C and E 12 ST","D","MN034",990705.06483389,204239.44032422,990707.78234814,204213.08210921,"AV C","E 12 ST",895,"POINT (-73.9767105937 40.727264383)"
"5573",10520694,"H","SW","SW corner of E 57 ST and LEXINGTON AV","D","MN052",992707.91417465,216424.66857839,992759.30055481,216489.11398755,"E 57 ST","LEXINGTON AV",18025,"POINT (-73.969469136 40.7607080978)"
"5574",10220091,"H","NW","NW corner of LAFAYETTE ST and GREAT JONES ST","B","MN022",985997.92332956,204314.67147297,985999.25501981,204283.04259922,"LAFAYETTE ST","GREAT JONES ST",119,"POINT (-73.9936935996 40.7274730567)"
"5575",10430310,"H","Direction TBD","Location Description T/K","P","MN043",986619.69341148,215336.19273697,986636.70404286,215366.77120572,"Street Name TBD","",1738,"POINT (-73.9914464083 40.7577242383)"
"5576",30220150,"H","SW","SW corner of BOERUM PL and JORALEMON ST","D","BKN022",987222.3336104,191375.12222089,987241.05699815,191438.86585979,"BOERUM PL","JORALEMON ST",13567,"POINT (-73.9892817146 40.6919567366)"
"5583",20520070,"H","N","N corner of E TREMONT AV and CRESTON AV","O","BX052",1009991.00198373,249198.71064171,1009992.02855648,249164.94135229,"E TREMONT AV","CRESTON AV",10347,"POINT (-73.9069560666 40.8506303266)"
"5617",30520024,"H","NE","NE corner of FULTON ST and EUCLID AV","D","BKN052",1019213.45105848,188231.87260188,1019182.65289173,188202.36970814,"FULTON ST","EUCLID AV",9521,"POINT (-73.8739376004 40.683260683)"
"5622",10520512,"H","NE","NE corner of 5 AV and E 51 ST","B","MN052",990789.75101623,215884.44820213,990727.35908064,215865.21759754,"5 AV","E 51 ST",2626,"POINT (-73.9763937298 40.7592269583)"
"5625",10430023,"H","Direction TBD","Location Description T/K","P","MN043",986220.31264857,215887.41801247,986239.59805268,215922.89023953,"Street Name TBD","",1209,"POINT (-73.9928878425 40.7592373087)"
"5628",20430016,"H","Direction TBD","Location Description T/K","P","BX043",1007860.22967048,246237.38913655,1007822.3227141,246257.96237329,"Street Name TBD","",6266,"POINT (-73.9146684203 40.8425083291)"
"5632",30210023,"H","Direction TBD","Location Description T/K","B","BKN021",988267.16255748,191242.50437588,988309.14181767,191240.82671008,"Street Name TBD","",9628,"POINT (-73.9855141228 40.6915923186)"
"5633",31430030,"H","SW","SW corner of NOSTRAND AV and GLENWOOD RD","B","BKS143",998700.75881623,170213.7213023,998722.69742064,170238.2586548,"NOSTRAND AV","GLENWOOD RD",13620,"POINT (-73.9479356791 40.6338620859)"
"5634",10230142,"H","SW","SW corner of AVE OF THE AMERICAS and W 11 ST","B","MN023",984655.67502981,207186.64013846,984688.61459647,207199.37206838,"AVE OF THE AMERICAS","W 11 ST",593,"POINT (-73.9985361762 40.73535607)"
"5653",10510560,"H","SW","SW corner of 7 AV and W 31 ST","B","MN051",986381.95044865,212157.68761104,986426.24202673,212186.89030854,"7 AV","W 31 ST",2259,"POINT (-73.9923055677 40.7490001085)"
"5657",10430199,"H","SE","SE corner of 10 AV and W 42 ST","P","MN043",985531.01186182,215941.19710438,985519.72579515,215980.0903993,"10 AV","W 42 ST",1598,"POINT (-73.9953759733 40.7593850453)"
"5659",41310015,"H","E","E corner of 263 ST and UNION TP","D","QE131",1064827.67610282,211987.33919847,1064789.76968256,212033.12552422,"263 ST","UNION TP",11552,"POINT (-73.7091898406 40.748165683)"
"5669",40140110,"H","N","N corner of BROADWAY and 32 ST","D","QW014",1005149.19145739,216863.58141446,1005139.49200173,216787.55203897,"BROADWAY","32 ST",21758,"POINT (-73.9245580214 40.7618921449)"
"5680",30410012,"H","W","W corner of WYCKOFF AV and STOCKHOLM ST","D","BKN041",1006760.95529422,195698.36455864,1006819.82689564,195718.81464897,"WYCKOFF AV","STOCKHOLM ST",9344,"POINT (-73.9188106868 40.7037948952)"
"5682",30910019,"H","SE","SE corner of FRANKLIN AV and EASTERN PKWY","D","BKN091",995961.28463639,183486.09239531,995904.14334647,183522.83182313,"FRANKLIN AV","EASTERN PKWY",10446,"POINT (-73.9577826224 40.6702958951)"
"5686",10510187,"H","SW","SW corner of MADISON AV and E 27 ST","B","MN051",988007.08630598,210091.29902729,988055.32046148,210106.78784147,"MADISON AV","E 27 ST",1626,"POINT (-73.9864414366 40.7433278491)"
"5688",10220364,"H","SW","SW corner of BROADWAY and E 8 ST","B","MN022",986238.80539373,205390.87076414,986321.07524231,205446.55077088,"BROADWAY","E 8 ST",58390,"POINT (-73.9928241938 40.7304269101)"
"5689",10850199,"H","NE","NE corner of YORK AV and E 89 ST","B","MN085",999367.27191889,222688.12783621,999324.54956339,222678.70167397,"YORK AV","E 89 ST",3493,"POINT (-73.9454165081 40.7778907825)"
"5695",10230247,"H","SE","SE corner of 10 AV and W 13 ST","B","MN023",981862.11139123,209316.37439606,981855.29349148,209375.81456588,"10 AV","W 13 ST",5983,"POINT (-74.0086171312 40.7412013498)"
"5711",30220138,"H","S","S corner of ATLANTIC AV and HOYT ST","B","BKN022",987860.58069348,189781.74647063,987852.60433148,189814.54168063,"ATLANTIC AV","HOYT ST",9031,"POINT (-73.9869810387 40.6875830495)"
"5712",10620053,"H","SW","SW corner of 3 AV and E 28 ST","O","MN062",989477.70147498,209571.53956813,989511.04261564,209595.85349588,"3 AV","E 28 ST",4927,"POINT (-73.9811346885 40.741900492)"
"5724",10510445,"H","SW","SW corner of PARK AV S and E 32 ST","B","MN051",989084.25606765,210978.71391913,989117.46072565,210991.91697672,"PARK AV S","E 32 ST",1906,"POINT (-73.9825535114 40.7457630576)"
"5729",10610144,"H","SW","SW corner of 3 AV and E 23 ST","B","MN061",988775.2301109,208454.54344255,988869.52815065,208443.07036838,"3 AV","E 23 ST",4524,"POINT (-73.9836704624 40.7388350026)"
"5731",10830029,"H","NE","NE corner of YORK AV and E 76 ST","B","MN083",997659.35145024,219617.71895079,997623.39811006,219610.6500673,"YORK AV","E 76 ST",4634,"POINT (-73.9515893721 40.7694660715)"
"5736",10820016,"H","NW","NW corner of YORK AV and E 74 ST","B","MN082",997305.73765615,219213.10689913,997307.9984784,219178.57087897,"YORK AV","E 74 ST",5723,"POINT (-73.9528667793 40.7683560461)"
"5738",40750010,"H","NW","NW corner of COLLEGE PT BLVD and 15 AV","B","QE075",1026899.86744414,225069.82746913,1026932.45399314,225036.75798146,"COLLEGE PT BLVD","15 AV",12878,"POINT (-73.8459903896 40.7843379372)"
"5739",10710272,"H","SE","SE corner of COLUMBUS AV and W 71 ST","B","MN071",990029.86999007,222173.3024223,990005.45074756,222228.94863647,"COLUMBUS AV","W 71 ST",37706,"POINT (-73.9791312329 40.7764887601)"
"5741",10510008,"H","NE","NE corner of PARK AV S and E 31 ST","B","MN051",989137.1818148,210772.63198222,989077.66749814,210765.31966089,"PARK AV S","E 31 ST",1166,"POINT (-73.9823626559 40.7451973853)"
"5742",50320032,"H","Direction TBD","Location Description T/K","B","SI032",942295.07307139,140134.18762946,942309.97176103,140105.96165965,"Street Name TBD","",20580,"POINT (-74.1509715732 40.55121236)"
"5748",10830109,"H","NW","NW corner of LEXINGTON AV and E 76 ST","P","MN083",995216.34747797,220975.32023822,995224.75133257,220937.42234813,"LEXINGTON AV","E 76 ST",20010,"POINT (-73.9604069225 40.7731957006)"
"5751",40840004,"H","SW","SW corner of UNION TP and 169 ST","D","QE084",1039836.68179356,202732.86361297,1039861.11219089,202789.84676671,"UNION TP","169 ST",18521,"POINT (-73.7994600687 40.7229569063)"
"5756",10520403,"H","SW","SW corner of PARK AV and E 41 ST","B","MN052",990201.17509365,213044.45781913,990243.85939148,213064.26847506,"PARK AV","E 41 ST",2420,"POINT (-73.9785208017 40.7514323233)"
"5764",20730016,"H","W","W corner of E 204 ST and HULL AV","B","BX073",1017905.75190222,257159.87319705,1017940.64126815,257159.10515396,"E 204 ST","HULL AV",9089,"POINT (-73.8783073107 40.872454675)"
"5768",31620084,"H","SE","SE corner of PITKIN AV and GRAFTON ST","B","BKN162",1006734.75685582,182754.31695597,1006696.69033089,182798.04980813,"PITKIN AV","GRAFTON ST",10925,"POINT (-73.9189483718 40.6682665289)"
"5770",10710014,"H","S","S corner of COLUMBUS AV and BROADWAY","B","MN071",989116.15528207,220580.36433521,989131.30485806,220663.94028355,"COLUMBUS AV","BROADWAY",4720,"POINT (-73.9824314397 40.7721171129)"
"5777",10420350,"H","NW","NW corner of 8 AV and W 34 ST","B","MN042",986034.32745622,213400.01583505,986043.6250098,213366.66157106,"8 AV","W 34 ST",74410,"POINT (-73.9935598458 40.7524100626)"
"5780",30210079,"H","NE","NE corner of JORALEMON ST and HENRY ST","D","BKN021",985670.76191039,191840.02680288,985634.46900398,191820.12822063,"JORALEMON ST","HENRY ST",20825,"POINT (-73.9948766104 40.6932331773)"
"5781",10620295,"H","Direction TBD","Location Description T/K","O","MN062",990682.01566739,209948.8524618,990653.15440024,209964.79157526,"Street Name TBD","",31097,"POINT (-73.976788295 40.7429353278)"
"5785",40710170,"H","Direction TBD","Location Description T/K","D","QE071",1031010.95994373,215979.95424472,1031023.42040773,215952.31118454,"Street Name TBD","",34304,"POINT (-73.8312084273 40.7593678604)"
"5794",10710088,"H","SW","SW corner of BROADWAY and W 70 ST","B","MN071",989107.0129119,222385.63434671,989153.44129673,222404.65694647,"BROADWAY","W 70 ST",2954,"POINT (-73.9824631421 40.7770721106)"
"5796",10630046,"H","SW","SW corner of SUTTON PL S and E 55 ST","B","MN063",994799.62587048,214700.86690788,994844.09953481,214729.42262505,"SUTTON PL S","E 55 ST",5121,"POINT (-73.9619213082 40.7559744548)"
"5802",10220054,"H","SE","SE corner of AVE OF THE AMERICAS and WAVERLY PL","B","MN022",984257.12792665,206224.13681413,984250.67912065,206265.93922396,"AVE OF THE AMERICAS","WAVERLY PL",24,"POINT (-73.9999742809 40.7327142446)"
"5807",41420140,"H","Direction TBD","Location Description T/K","P","QE142",1033565.40463798,151302.35098863,1033572.40431908,151281.19210217,"Street Name TBD","",13948,"POINT (-73.8224609307 40.5818288636)"
"5819",10210046,"H","SW","SW corner of GRAND ST and CROSBY ST","D","MN021",984218.40031381,201718.33611447,984260.21650314,201739.56343421,"GRAND ST","CROSBY ST",194,"POINT (-74.0001139975 40.720346918)"
"5824",10630082,"H","NW","NW corner of 1 AV and E 53 ST","B","MN063",993982.44344972,214696.48962005,993982.57894814,214657.36896338,"1 AV","E 53 ST",2956,"POINT (-73.96487092 40.7559633776)"
"5826",30220017,"H","S","S corner of SMITH ST and SCHERMERHORN ST","D","BKN022",987519.32284582,190544.90242463,987506.82418315,190571.03294981,"SMITH ST","SCHERMERHORN ST",9475,"POINT (-73.9882111693 40.6896778699)"
"5827",10110347,"H","Direction TBD","Location Description T/K","P","MN011",980093.3478684,200246.5037563,980113.46218225,200234.49809526,"Street Name TBD","",6378,"POINT (-74.014994434 40.7163061154)"
"5833",10610171,"H","SE","SE corner of LEXINGTON AV and E 24 ST","B","MN061",988640.81338498,208844.57875171,988626.37574981,208909.97888339,"LEXINGTON AV","E 24 ST",6144,"POINT (-73.9841552579 40.7399056205)"
"5838",31840028,"H","W","W corner of AV U and E 59 ST","D","BKS184",1007406.35721864,162999.32103297,1007509.66147397,162991.44867338,"AV U","E 59 ST",14396,"POINT (-73.9165952341 40.614041596)"
"5845",40820036,"H","N","N corner of QUEENS BLVD and 84 DR","D","QE082",1034538.26784973,197678.07352571,1034545.04342672,197638.98436505,"QUEENS BLVD","84 DR",11714,"POINT (-73.8186128472 40.7091144544)"
"5847",10520384,"H","NE","NE corner of PARK AV and E 41 ST","B","MN052",990407.9197589,213056.27177188,990361.44117731,213043.71405421,"PARK AV","E 41 ST",2399,"POINT (-73.9777746005 40.751464608)"
"5854",10210440,"H","SW","SW corner of BROADWAY and PRINCE ST","B","MN021",984762.05637872,203078.5512418,984834.17860982,203132.81196004,"BROADWAY","PRINCE ST",19993,"POINT (-73.998152626 40.724080365)"
"5868",40210012,"H","SE","SE corner of ROOSEVELT AV and 68 ST","D","QW021",1012807.08723082,211104.03289421,1012757.81994089,211150.3717123,"ROOSEVELT AV","68 ST",12148,"POINT (-73.8969390041 40.7460622386)"
"5890",10730047,"H","NE","NE corner of W 86 ST and COLUMBUS AV","B","MN073",992061.5129084,225839.08183613,992000.89623173,225828.95127897,"W 86 ST","COLUMBUS AV",4355,"POINT (-73.9717915323 40.7865487901)"
"5907",30220131,"H","W","W corner of SCHERMERHORN ST and BOND ST","B","BKN022",988638.3347154,189963.26513647,988668.30644023,189987.49573106,"SCHERMERHORN ST","BOND ST",9018,"POINT (-73.9841765103 40.6880809251)"
"5916",50340013,"H","W","W corner of RICHMOND AV and MOSELY AV","B","SI034",938377.40702222,137445.54766555,938411.91909231,137447.3006148,"RICHMOND AV","MOSELY AV",18676,"POINT (-74.1650507314 40.5438131681)"
"5918",10810123,"H","NE","NE corner of 3 AV and E 66 ST","B","MN081",994478.86240439,218341.53876038,994434.5593434,218328.55289397,"3 AV","E 66 ST",21950,"POINT (-73.9630735587 40.7659675405)"
"5923",10230099,"H","NW","NW corner of BROADWAY and E 9 ST","B","MN023",986471.3862934,205726.92422588,986477.96797314,205689.32259505,"BROADWAY","E 9 ST",520,"POINT (-73.991984908 40.7313492391)"
"5925",41420004,"H","SE","SE corner of BEACH CHANNEL DR and BEACH 44 ST","D","QE142",1046602.81589906,156302.68974121,1046553.78548531,156348.66438679,"BEACH CHANNEL DR","BEACH 44 ST",12020,"POINT (-73.7754793393 40.5954716353)"
"5927",10750221,"H","NE","NE corner of AMSTERDAM AV and W 106 ST","B","MN075",993881.84391339,230893.05499588,993788.7633909,230913.6491148,"AMSTERDAM AV","W 106 ST",36409,"POINT (-73.9652108144 40.8004187831)"
"5928",10620217,"H","NE","NE corner of 2 AV and E 34 ST","O","MN062",991012.7823943,210635.89669138,990982.98849064,210630.5007048,"2 AV","E 34 ST",3377,"POINT (-73.9755939412 40.7448208457)"
"5930",11210043,"H","Direction TBD","Location Description T/K","P","MN121",1000484.78772847,246019.68911263,1000465.38882832,245983.92897044,"Street Name TBD","",7248,"POINT (-73.9413250998 40.8419274461)"
"5931",40830091,"H","W","W corner of MANTON ST and MAIN ST","D","QE083",1034238.31372523,198122.16482914,1034282.0406719,198127.4725613,"MANTON ST","MAIN ST",18484,"POINT (-73.8196914659 40.7103350768)"
"5940",50110121,"H","SE","SE corner of BROAD ST and TOMPKINS AV","D","SI011",962242.0882954,166799.97189622,962187.02869423,166826.51679063,"BROAD ST","TOMPKINS AV",13889,"POINT (-74.0792806768 40.6244765149)"
"5948",10210305,"H","SW","SW corner of AVE OF THE AMERICAS and W WASHINGTON PL","B","MN021",984030.40659531,206069.60070588,984071.7785598,206077.41893172,"AVE OF THE AMERICAS","W WASHINGTON PL",470,"POINT (-74.0007923368 40.7322900782)"
"5949",10430289,"H","Direction TBD","Location Description T/K","P","MN043",986010.2533574,216009.53194146,986027.72266596,216039.41419078,"Street Name TBD","",1713,"POINT (-73.993646053 40.7595725245)"
"5953",10810053,"H","NW","NW corner of PARK AV and E 59 ST","B","MN081",992573.32815772,217314.62185097,992574.74383731,217272.37029505,"PARK AV","E 59 ST",4765,"POINT (-73.9699538545 40.7631509183)"
"5959",10110093,"H","NW","Unknown median on RECTOR PL","P","MN011",979728.24558023,197570.88476372,979790.83895898,197526.90453671,"RECTOR PL","RECTOR PL",5255,"POINT (-74.0163096829 40.7089619996)"
"5968",20410013,"H","S","S corner of E 161 ST and CONCOURSE VLG E","D","BX041",1006856.60405307,239977.81569772,1006827.76323147,240026.80346063,"E 161 ST","CONCOURSE VLG E",6243,"POINT (-73.9183167959 40.8253302387)"
"5993",30220029,"H","N","N corner of LIVINGSTON ST and SMITH ST","B","BKN022",987586.89193639,190909.36265372,987595.90536982,190871.11437063,"LIVINGSTON ST","SMITH ST",9645,"POINT (-73.9879673418 40.6906782041)"
"6001",10210424,"H","NE","NE corner of CANAL ST and BROADWAY","B","MN021",983805.01104873,201407.8045833,983765.61119315,201383.88501172,"CANAL ST","BROADWAY",18801,"POINT (-74.0016053007 40.7194945726)"
"6003",10820238,"H","SE","SE corner of 2 AV and E 72 ST","D","MN082",995853.32881556,219275.70027788,995798.53955506,219331.66768563,"2 AV","E 72 ST",48977,"POINT (-73.9581100897 40.7685298743)"
"6006",10510398,"H","NW","NW corner of BROADWAY and W 35 ST","B","MN051",987592.51725324,212856.98640929,987599.90470564,212802.81230505,"BROADWAY","W 35 ST",1862,"POINT (-73.9879361578 40.7509191325)"
"6009",10830193,"H","SW","SW corner of E 79 ST and LEXINGTON AV","B","MN083",995565.17912939,221566.24392514,995593.87461007,221605.5082823,"E 79 ST","LEXINGTON AV",7871,"POINT (-73.9591465003 40.7748171915)"
"6020",10810236,"H","NE","NE corner of 3 AV and E 59 ST","B","MN081",993588.74869905,216743.68040755,993550.48335564,216732.10234672,"3 AV","E 59 ST",3635,"POINT (-73.9662891103 40.7615828168)"
"6022",40230050,"H","NE","NE corner of VERNON BLVD and 47 AV","D","QW023",997309.32951248,210927.16218497,997254.47168256,210894.45358896,"VERNON BLVD","47 AV",8882,"POINT (-73.9528699066 40.7456132396)"
"6031",10430335,"H","Direction TBD","Location Description T/K","B","MN043",987610.43650873,217175.83505505,987641.41458729,217232.28183347,"Street Name TBD","",1789,"POINT (-73.9878693248 40.7627732637)"
"6033",50130191,"H","SE","SE corner of POST AV and JEWETT AV","D","SI013",948127.20642023,169085.11004247,948064.5635009,169133.01152146,"POST AV","JEWETT AV",45373,"POINT (-74.1301398966 40.6307024231)"
"6034",40420021,"H","NE","NE corner of QUEENS BLVD and 90 ST","P","QW042",1019804.85932449,206842.15165421,1019729.82371339,206827.33245814,"QUEENS BLVD","90 ST",13729,"POINT (-73.8717069791 40.7343390797)"
"6037",10230271,"H","NW","NW corner of 8 AV and HORATIO ST","B","MN023",983271.23652573,208463.12872721,983267.33791147,208438.15239921,"8 AV","HORATIO ST",25310,"POINT (-74.0035319222 40.7388596707)"
"6040",10430336,"H","Direction TBD","Location Description T/K","B","MN043",987682.47343814,217131.12221797,987715.64002728,217191.5452074,"Street Name TBD","",1791,"POINT (-73.9876093051 40.7626505108)"
